date_time,deposited,withdrawn,net_deposit,accumulated_deposited,accumulated_withdrawn,accumulated_net_deposited
2024-09-02,0,0,0,64078.8841814244,26828.645525191972,37250.238656232425
2024-09-01,25,0,25,64078.8841814244,26828.645525191972,37250.238656232425
2024-08-31,66.58,51.87801955297,14.701980447029996,64053.8841814244,26828.645525191972,37225.238656232425
2024-08-30,331.38125991855,660.40443832616,-329.02317840761,63987.3041814244,26776.767505639004,37210.53667578539
2024-08-29,406.70070460999,14.95085027296,391.74985433703,63655.92292150585,26116.363067312843,37539.559854193
2024-08-28,425.21546190953,171.13502246934,254.08043944019002,63249.22221689586,26101.412217039884,37147.80999985597
2024-08-27,660.8272918679902,326.34822098697,334.4790708810202,62824.00675498633,25930.277194570543,36893.72956041578
2024-08-26,288.37190183853,19.919884458,268.45201738053,62163.179463118344,25603.928973583574,36559.25048953476
2024-08-25,3.44836222182,0,3.44836222182,61874.80756127981,25584.009089125575,36290.79847215423
2024-08-24,28.356751867499998,0,28.356751867499998,61871.359199057995,25584.009089125575,36287.35010993241
2024-08-23,389.51734268961,56.67961782595,332.83772486366,61843.0024471905,25584.009089125575,36258.993358064916
2024-08-22,75.12097347623,32.54558605599,42.575387420240006,61453.48510450089,25527.329471299625,35926.155633201255
2024-08-21,191.7242395676,13.456572130569999,178.26766743702998,61378.36413102466,25494.783885243636,35883.58024578101
2024-08-20,522.6046775413499,36.82850365558,485.77617388576994,61186.63989145706,25481.327313113066,35705.31257834398
2024-08-19,86.36999999999,115.99869248171001,-29.62869248172001,60664.03521391571,25444.498809457487,35219.53640445821
2024-08-18,146.65000000000003,0,146.65000000000003,60577.66521391572,25328.500116975778,35249.16509693993
2024-08-17,0,19.199961137989998,-19.199961137989998,60431.01521391572,25328.500116975778,35102.515096939926
2024-08-16,31.506342977990002,6.95021719504,24.55612578295,60431.01521391572,25309.300155837787,35121.71505807791
2024-08-15,173.42034745977,0,173.42034745977,60399.50887093773,25302.349938642747,35097.158932294966
2024-08-14,56.95091871998999,4.23486244865,52.716056271339994,60226.08852347796,25302.349938642747,34923.7385848352
2024-08-13,289.75005857998997,240.78357438967,48.96648419031996,60169.137604757976,25298.115076194095,34871.02252856386
2024-08-12,4.38956993,103.67472108922,-99.28515115921999,59879.38754617798,25057.331501804427,34822.05604437354
2024-08-11,110.75346195866999,7.1638689618099995,103.58959299685999,59874.997976247985,24953.656780715206,34921.34119553276
2024-08-10,27.370906726359998,28.992428278890003,-1.6215215525300053,59764.24451428931,24946.492911753397,34817.7516025359
2024-08-09,54.99091872,41.43375187203,13.557166847970002,59736.87360756295,24917.50048347451,34819.37312408843
2024-08-08,239.09740244637,79.26785377115999,159.82954867521002,59681.88268884295,24876.066731602477,34805.81595724046
2024-08-07,490.35248598998993,5.99343285221,484.35905313777994,59442.785286396575,24796.798877831316,34645.98640856525
2024-08-06,995.43338525512,383.0802418603,612.35314339482,58952.43280040658,24790.805444979105,34161.627355427474
2024-08-05,273.58755497024,131.80948638142002,141.77806858881996,57956.99941515146,24407.725203118804,33549.27421203265
2024-08-04,86.98193793445,0,86.98193793445,57683.41186018122,24275.915716737385,33407.49614344383
2024-08-03,10.7651416045,59.83948472639,-49.074343121889996,57596.429922246774,24275.915716737385,33320.51420550938
2024-08-02,108.33493759996,47.98314045977,60.35179714019,57585.66478064228,24216.076232010993,33369.58854863127
2024-08-01,362.09851812981003,34.15409655995,327.94442156986,57477.32984304232,24168.09309155122,33309.23675149108
2024-07-31,361.68999999999,0,361.68999999999,57115.23132491251,24133.938994991273,32981.29232992122
2024-07-30,332.12,36.25351792713,295.86648207287,56753.54132491252,24133.938994991273,32619.602329921232
2024-07-29,345.68778020029004,29.934495570190002,315.75328463010004,56421.42132491252,24097.685477064144,32323.735847848362
2024-07-28,31.25201025997,7.99998093768,23.25202932229,56075.733544712224,24067.750981493955,32007.982563218262
2024-07-27,83.83793759999,0,83.83793759999,56044.48153445226,24059.751000556276,31984.73053389597
2024-07-26,601.48464212622,127.44532094430997,474.03932118191005,55960.64359685227,24059.751000556276,31900.89259629598
2024-07-25,1307.3747584590099,0,1307.3747584590099,55359.15895472605,23932.305679611967,31426.85327511407
2024-07-24,87.61558469999,318.94279224858,-231.32720754859002,54051.78419626704,23932.305679611967,30119.47851665506
2024-07-23,649.92113080256,620.54378140631,29.377349396249997,53964.16861156705,23613.362887363386,30350.805724203652
2024-07-22,335.22190779179004,0,335.22190779179004,53314.24748076449,22992.819105957074,30321.4283748074
2024-07-21,1,42.37963301349,-41.37963301349,52979.0255729727,22992.819105957074,29986.20646701561
2024-07-20,0,47.547933480219996,-47.547933480219996,52978.0255729727,22950.439472943584,30027.5861000291
2024-07-19,2114.730216061115,296,1818.7302160611148,52978.0255729727,22902.891539463366,30075.13403350932
2024-07-18,77.0712036108078,77.20780205038,-0.13659843957219664,50863.295356911585,22606.891539463366,28256.403817448205
2024-07-17,7.1229442575899995,0,7.1229442575899995,50786.22415330078,22529.683737412986,28256.540415887775
2024-07-16,15.5,237.14197417662,-221.64197417662,50779.10120904318,22529.683737412986,28249.417471630186
2024-07-15,157.73655507439,0,157.73655507439,50763.60120904318,22292.541763236368,28471.059445806804
2024-07-14,376.67324576,478.66961019691996,-101.99636443691998,50605.86465396879,22292.541763236368,28313.322890732416
2024-07-13,0,0,0,50229.19140820879,21813.872153039447,28415.319255169336
2024-07-12,391.89079894734004,287.79746272125,104.09333622609006,50229.19140820879,21813.872153039447,28415.319255169336
2024-07-11,371.7,34.27122924286,337.42877075714,49837.30060926145,21526.074690318197,28311.225918943244
2024-07-10,71.270532154,57.20060887649001,14.069923277509986,49465.600609261455,21491.80346107534,27973.797148186106
2024-07-09,330,249.98533767650002,80.01466232349998,49394.33007710746,21434.60285219885,27959.727224908595
2024-07-08,270,0,270,49064.33007710746,21184.61751452235,27879.712562585093
2024-07-07,50.956459408,84.14314299008001,-33.18668358208001,48794.33007710746,21184.61751452235,27609.712562585093
2024-07-06,169.09214752,20.44000056038,148.65214695961998,48743.37361769946,21100.47437153227,27642.899246167173
2024-07-05,22.764659440000003,3.71878523548,19.045874204520004,48574.281470179456,21080.03437097189,27494.247099207554
2024-07-04,967.01508220856,2.81766082721,964.19742138135,48551.51681073946,21076.31558573641,27475.201225003035
2024-07-03,430.9958752,67.13010779686002,363.86576740314,47584.50172853089,21073.4979249092,26511.003803621687
2024-07-02,11.1,110.66653208612999,-99.56653208613,47153.50585333089,21006.36781711234,26147.13803621855
2024-07-01,1069.6154241353602,668.7768027461698,400.8386213891904,47142.40585333089,20895.70128502621,26246.704568304678
2024-06-30,143.68807599999997,52.1412756263,91.54680037369997,46072.790429195535,20226.92448228004,25845.865946915488
2024-06-29,367.79006385632,0.00021150426,367.78985235206,45929.102353195536,20174.783206653738,25754.319146541788
2024-06-28,493.02214333866,259.30731164173994,233.71483169692004,45561.312289339214,20174.78299514948,25386.529294189728
2024-06-27,271.57631497599,45.18934199885,226.38697297713998,45068.29014600055,19915.47568350774,25152.814462492806
2024-06-26,162.20000000000002,72.94692447036,89.25307552964001,44796.713831024565,19870.28634150889,24926.427489515667
2024-06-25,351.20269557028996,15.7177807646,335.48491480569,44634.51383102457,19797.33941703853,24837.174413986028
2024-06-24,646.8858752,273.04933947384995,373.83653572615003,44283.31113545428,19781.62163627393,24501.68949918034
2024-06-23,0,0,0,43636.42526025428,19508.572296800077,24127.85296345419
2024-06-22,271.09445808,551.0943164800001,-279.9998584000001,43636.42526025428,19508.572296800077,24127.85296345419
2024-06-21,313.29820458554,60.802146278769996,252.49605830677,43365.33080217428,18957.477980320076,24407.852821854187
2024-06-20,322.63491153561,51.88507792248,270.74983361313,43052.03259758874,18896.675834041307,24155.356763547417
2024-06-19,811.1323649479999,100.810372664,710.3219922839999,42729.397686053126,18844.790756118826,23884.60692993429
2024-06-18,18.61,27.48074319861,-8.87074319861,41918.26532110513,18743.980383454826,23174.28493765029
2024-06-17,167.56231889859998,30.91477859808,136.64754030051998,41899.65532110513,18716.499640256217,23183.1556808489
2024-06-16,671.7123782711899,1131.6550059627202,-459.94262769153033,41732.09300220653,18685.58486165814,23046.50814054838
2024-06-15,4.6899999999999995,0,4.6899999999999995,41060.380623935336,17553.92985569542,23506.45076823991
2024-06-14,18.64882456398,78.51507312788,-59.8662485639,41055.690623935334,17553.92985569542,23501.76076823991
2024-06-13,248.30161296983002,48.958408408139995,199.34320456169002,41037.041799371356,17475.41478256754,23561.62701680381
2024-06-12,189.16219196644002,198.99041304024,-9.828221073799995,40788.74018640153,17426.4563741594,23362.28381224212
2024-06-11,377,87.1862229216,289.8137770784,40599.57799443509,17227.46596111916,23372.11203331592
2024-06-10,78.8379376,23.80255396584,55.03538363416,40222.57799443509,17140.27973819756,23082.29825623752
2024-06-09,5.16,0,5.16,40143.740056835086,17116.47718423172,23027.262872603358
2024-06-08,51.36739259901,0,51.36739259901,40138.58005683508,17116.47718423172,23022.10287260336
2024-06-07,339.68114916252,20.35436626221,319.32678290031,40087.212664236074,17116.47718423172,22970.735480004347
2024-06-06,26.32,7.10904431949,19.21095568051,39747.531515073555,17096.12281796951,22651.408697104038
2024-06-05,0,7.40334477172,-7.40334477172,39721.211515073555,17089.01377365002,22632.197741423526
2024-06-04,0,5.51071535283,-5.51071535283,39721.211515073555,17081.6104288783,22639.601086195245
2024-06-03,106.26047662799999,67.62107190912,38.63940471887999,39721.211515073555,17076.09971352547,22645.111801548075
2024-06-02,65.73316996862,0,65.73316996862,39614.95103844556,17008.478641616348,22606.472396829195
2024-06-01,168.7145021979,134.74634616357,33.96815603433001,39549.21786847694,17008.478641616348,22540.739226860576
2024-05-31,605.23836101599,352.46055269112003,252.77780832486997,39380.50336627904,16873.732295452777,22506.771070826246
2024-05-30,273.32904326799996,711.37393605631,-438.04489278831,38775.26500526305,16521.271742761655,22253.993262501375
2024-05-29,45.00649472399999,0,45.00649472399999,38501.93596199505,15809.897806705345,22692.038155289687
2024-05-28,304.74548231994,257.24894787918,47.49653444076,38456.929467271046,15809.897806705345,22647.031660565688
2024-05-27,46.50999802776,15.90999802776,30.599999999999998,38152.18398495111,15552.648858826165,22599.535126124927
2024-05-26,48.361678,26.78953443699,21.57214356301,38105.67398692335,15536.738860798405,22568.93512612493
2024-05-25,95.843382552,29.33344998595,66.50993256605,38057.31230892335,15509.949326361415,22547.362982561917
2024-05-24,151.0006957262413,25,126.0006957262413,37961.46892637135,15480.615876375465,22480.85304999587
2024-05-23,40.7400878,10,30.740087799999998,37810.46823064511,15455.615876375465,22354.852354269628
2024-05-22,270.17877968572003,287.1166631953,-16.93788350957999,37769.72814284511,15445.615876375465,22324.112266469627
2024-05-21,145.90211870994,5.57234274141,140.32977596853,37499.54936315939,15158.499213180165,22341.050149979208
2024-05-20,84.97276517999,50.01601340999,34.956751770000004,37353.64724444945,15152.926870438754,22200.720374010678
2024-05-19,89.4030784,12.504845521,76.898232879,37268.67447926946,15102.910857028764,22165.763622240676
2024-05-18,136.14611920929002,2.94956353736,133.19655567193,37179.27140086946,15090.406011507765,22088.865389361676
2024-05-17,298.37174556234004,1.7783472112899998,296.59339835105004,37043.12528166017,15087.456447970404,21955.668833689746
2024-05-16,577.55914485151,100.21560229414,477.34354255737003,36744.75353609783,15085.678100759114,21659.075435338695
2024-05-15,692.6690803199899,52.72385095119,639.9452293687999,36167.19439124632,14985.462498464974,21181.731892781325
2024-05-14,24.96390466,18.382437898489997,6.581466761510004,35474.52531092633,14932.738647513785,20541.786663412524
2024-05-13,97.29413560353001,3.16771581975,94.12641978378001,35449.56140626633,14914.356209615295,20535.205196651015
2024-05-12,12.72,0,12.72,35352.2672706628,14911.188493795544,20441.078776867234
2024-05-11,41.72974926399999,59.629546208,-17.89979694400001,35339.5472706628,14911.188493795544,20428.358776867233
2024-05-10,77.307788,6.00838216792,71.29940583208,35297.8175213988,14851.558947587544,20446.258573811232
2024-05-09,135.73881386,2189.0085055790596,-2053.2696917190597,35220.5097333988,14845.550565419624,20374.959167979152
2024-05-08,74.22867752,802.4891766193102,-728.2604990993102,35084.7709195388,12656.542059840564,22428.22885969821
2024-05-07,54.496044564,806.2195357765198,-751.7234912125198,35010.542242018804,11854.052883221253,23156.48935879752
2024-05-06,7.11,0,7.11,34956.0461974548,11047.833347444734,23908.21285001004
2024-05-05,0,0,0,34948.9361974548,11047.833347444734,23901.10285001004
2024-05-04,25.78242259235,0,25.78242259235,34948.9361974548,11047.833347444734,23901.10285001004
2024-05-03,58.872785504,26.58886689216,32.28391861184,34923.153774862454,11047.833347444734,23875.32042741769
2024-05-02,6.8384019799899995,25.53766966156,-18.69926768157,34864.280989358456,11021.244480552574,23843.03650880585
2024-05-01,0,59.764281692400004,-59.764281692400004,34857.442587378464,10995.706810891013,23861.73577648742
2024-04-30,361.99542229199,0.06563576976,361.92978652223,34857.442587378464,10935.942529198614,23921.500058179823
2024-04-29,86.92963762,0,86.92963762,34495.44716508647,10935.876893428853,23559.570271657594
2024-04-28,105.46000000000001,0,105.46000000000001,34408.51752746647,10935.876893428853,23472.640634037594
2024-04-27,35.290000000000006,27.232055286100003,8.057944713900003,34303.05752746647,10935.876893428853,23367.180634037595
2024-04-26,56.08807024,21.466886307480003,34.62118393252,34267.76752746647,10908.644838142753,23359.122689323696
2024-04-25,445.41040472799,231.34286236024002,214.06754236774998,34211.67945722647,10887.177951835272,23324.501505391177
2024-04-24,61.92807024,167.63398185503002,-105.70591161503002,33766.26905249848,10655.835089475033,23110.433963023428
2024-04-23,464.00801801835007,339.18113013040005,124.82688788795002,33704.34098225848,10488.201107620003,23216.13987463846
2024-04-22,313.04,125.63944535738999,187.40055464261002,33240.33296424013,10149.019977489603,23091.31298675051
2024-04-21,136.82999999999998,104.10371881075,32.72628118924999,32927.29296424013,10023.380532132212,22903.9124321079
2024-04-20,24.88360792,0,24.88360792,32790.46296424013,9919.276813321463,22871.18615091865
2024-04-19,28.72,265.27358945642,-236.55358945641999,32765.579356320126,9919.276813321463,22846.30254299865
2024-04-18,9.04845904365,0,9.04845904365,32736.859356320125,9654.003223865044,23082.85613245507
2024-04-17,460.41,2137.92419742032,-1677.51419742032,32727.810897276475,9654.003223865044,23073.80767341142
2024-04-16,215.65788472555,42.64687034936,173.01101437619,32267.400897276475,7516.079026444724,24751.32187083174
2024-04-15,2432.46126225,0,2432.46126225,32051.743012550924,7473.432156095364,24578.31085645555
2024-04-14,11.86,0,11.86,29619.281750300925,7473.432156095364,22145.849594205552
2024-04-13,7.86,0,7.86,29607.421750300924,7473.432156095364,22133.989594205552
2024-04-12,382.61554033400006,0,382.61554033400006,29599.561750300923,7473.432156095364,22126.12959420555
2024-04-11,1784.6654334419995,49.421130950999995,1735.2443024909996,29216.94620996692,7473.432156095364,21743.51405387155
2024-04-10,1005.9951758239899,108.86888121491,897.1262946090799,27432.280776524924,7424.011025144364,20008.26975138055
2024-04-09,806.69807024,657.4519414347599,149.24612880524012,26426.285600700932,7315.142143929454,19111.14345677147
2024-04-08,475.792036066,277.28391085488,198.50812521112,25619.587530460933,6657.690202494694,18961.89732796623
2024-04-07,60.206044564,33.6000267633,26.606017800700002,25143.795494394933,6380.406291639814,18763.389202755112
2024-04-06,104.67854,0,104.67854,25083.58944983093,6346.806264876514,18736.783184954413
2024-04-05,5.61,0,5.61,24978.91090983093,6346.806264876514,18632.104644954412
2024-04-04,8.38254822315,0,8.38254822315,24973.30090983093,6346.806264876514,18626.49464495441
2024-04-03,1666.45826036998,3.31367786319,1663.1445825067901,24964.91836160778,6346.806264876514,18618.11209673126
2024-04-02,27.85,20.33081098414,7.51918901586,23298.4601012378,6343.492587013325,16954.96751422447
2024-04-01,791.28340263994,448.37316779226,342.91023484768004,23270.610101237802,6323.161776029185,16947.44832520861
2024-03-31,16.89514341455,125.57062450291,-108.67548108835999,22479.326698597863,5874.788608236925,16604.53809036093
2024-03-30,289.26934299977,228.32572748553002,60.94361551423998,22462.431555183313,5749.217983734015,16713.21357144929
2024-03-29,122.73478223999999,253.60556638792,-130.87078414792,22173.162212183543,5520.892256248485,16652.26995593505
2024-03-28,350.91911274200004,0,350.91911274200004,22050.427429943542,5267.286689860565,16783.14074008297
2024-03-27,104.97,55.11579949938,49.854200500619996,21699.50831720154,5267.286689860565,16432.22162734097
2024-03-26,9.04,119.93276831991,-110.89276831991,21594.53831720154,5212.170890361185,16382.367426840348
2024-03-25,661.86214642041,638.16236944176,23.699776978649993,21585.498317201538,5092.238122041275,16493.26019516026
2024-03-24,531.67289528396,0,531.67289528396,20923.636170781127,4454.075752599515,16469.56041818161
2024-03-23,282.48186465597996,0,282.48186465597996,20391.963275497168,4454.075752599515,15937.887522897649
2024-03-22,42.79966044,12.61681878184,30.182841658159997,20109.48141084119,4454.075752599515,15655.405658241669
2024-03-21,1058.28942262,0,1058.28942262,20066.68175040119,4441.458933817675,15625.22281658351
2024-03-20,2357.242178,0,2357.242178,19008.39232778119,4441.458933817675,14566.933393963509
2024-03-19,541.720495,0,541.720495,16651.150149781188,4441.458933817675,12209.691215963509
2024-03-18,1058.4651213367101,215.30425111179,843.1608702249201,16109.429654781186,4441.458933817675,11667.970720963509
2024-03-17,117.27819329199,0,117.27819329199,15050.964533444476,4226.154682705885,10824.80985073859
2024-03-16,106.24159013474,13.99056063987,92.25102949487,14933.686340152486,4226.154682705885,10707.5316574466
2024-03-15,179.96958509275998,14.56496389377,165.40462119899,14827.444750017747,4212.164122066015,10615.28062795173
2024-03-14,96.03840198,0,96.03840198,14647.475164924987,4197.599158172245,10449.87600675274
2024-03-13,198.63,0,198.63,14551.436762944986,4197.599158172245,10353.83760477274
2024-03-12,149.35000000000002,0,149.35000000000002,14352.806762944987,4197.599158172245,10155.20760477274
2024-03-11,1016.2099999999999,0,1016.2099999999999,14203.456762944987,4197.599158172245,10005.85760477274
2024-03-10,0,16.52248722492,-16.52248722492,13187.246762944987,4197.599158172245,8989.647604772741
