day,net_balance,total_balance
2021-10-19 00:00:00.000 UTC,101.45278299999995,101.45278299999995
2021-10-20 00:00:00.000 UTC,37870.41600899999,37971.868791999994
2021-10-21 00:00:00.000 UTC,257.253553999999,38229.12234599999
2021-10-22 00:00:00.000 UTC,4.200429800154239e+06,4.238658922500239e+06
2021-10-23 00:00:00.000 UTC,17865.71359640242,4.256524636096641e+06
2021-10-24 00:00:00.000 UTC,-110021.88669366999,4.1465027494029715e+06
2021-10-25 00:00:00.000 UTC,-1235.8262756300028,4.1452669231273415e+06
2021-10-26 00:00:00.000 UTC,-11051.68201,4.1342152411173414e+06
2021-10-27 00:00:00.000 UTC,-3030.772161,4.1311844689563415e+06
2021-10-28 00:00:00.000 UTC,63686.576440000004,4.194871045396342e+06
2021-10-29 00:00:00.000 UTC,-30465.237691259994,4.164405807705082e+06
2021-10-30 00:00:00.000 UTC,-223400.184039,3.941005623666082e+06
2021-10-31 00:00:00.000 UTC,-12153.55508,3.928852068586082e+06
2021-11-01 00:00:00.000 UTC,-11160.44335919397,3.9176916252268883e+06
2021-11-02 00:00:00.000 UTC,-4084.9833131258492,3.9136066419137623e+06
2021-11-03 00:00:00.000 UTC,-31084.789653004147,3.882521852260758e+06
2021-11-04 00:00:00.000 UTC,3498.2786399851557,3.8860201309007434e+06
2021-11-05 00:00:00.000 UTC,2748.2654151225906,3.888768396315866e+06
2021-11-06 00:00:00.000 UTC,-104.26062020016843,3.888664135695666e+06
2021-11-07 00:00:00.000 UTC,-773.0761415074285,3.8878910595541587e+06
2021-11-08 00:00:00.000 UTC,-3865.4479734537163,3.884025611580705e+06
2021-11-09 00:00:00.000 UTC,-6723.224850999999,3.8773023867297047e+06
2021-11-10 00:00:00.000 UTC,-691.269323,3.8766111174067045e+06
2021-11-11 00:00:00.000 UTC,-1097.984815267393,3.875513132591437e+06
2021-11-12 00:00:00.000 UTC,-18934.417475174465,3.8565787151162624e+06
2021-11-13 00:00:00.000 UTC,-2996.143522720952,3.8535825715935417e+06
2021-11-14 00:00:00.000 UTC,-798.8975340558618,3.852783674059486e+06
2021-11-15 00:00:00.000 UTC,-2706.4514924999994,3.850077222566986e+06
2021-11-16 00:00:00.000 UTC,-11045.145047571717,3.8390320775194145e+06
2021-11-17 00:00:00.000 UTC,-10956.09399937485,3.82807598352004e+06
2021-11-18 00:00:00.000 UTC,-2786.5545499301006,3.8252894289701097e+06
2021-11-19 00:00:00.000 UTC,-24252.274364,3.8010371546061095e+06
2021-11-20 00:00:00.000 UTC,-26634.05477,3.7744030998361097e+06
2021-11-21 00:00:00.000 UTC,-4095.758510985773,3.770307341325124e+06
2021-11-22 00:00:00.000 UTC,-1383.2972900000002,3.7689240440351237e+06
2021-11-23 00:00:00.000 UTC,-21045.74168655138,3.7478783023485723e+06
2021-11-24 00:00:00.000 UTC,-1646.0371834019024,3.74623226516517e+06
2021-11-25 00:00:00.000 UTC,-2604.909071703068,3.743627356093467e+06
2021-11-26 00:00:00.000 UTC,-39835.25971874111,3.703792096374726e+06
2021-11-27 00:00:00.000 UTC,1313.733252,3.705105829626726e+06
2021-11-28 00:00:00.000 UTC,277.3724490000004,3.705383202075726e+06
2021-11-29 00:00:00.000 UTC,-30980.308,3.6744028940757257e+06
2021-11-30 00:00:00.000 UTC,-1767.54293906,3.672635351136666e+06
2021-12-01 00:00:00.000 UTC,-19571.11327026,3.653064237866406e+06
2021-12-02 00:00:00.000 UTC,-22344.619167000004,3.630719618699406e+06
2021-12-03 00:00:00.000 UTC,-4806.607596488923,3.6259130111029167e+06
2021-12-04 00:00:00.000 UTC,-17453.25436552,3.6084597567373966e+06
2021-12-05 00:00:00.000 UTC,-4892.97413521,3.603566782602187e+06
2021-12-06 00:00:00.000 UTC,-3904.4587400199994,3.5996623238621666e+06
2021-12-07 00:00:00.000 UTC,-2893.6992590000004,3.5967686246031667e+06
2021-12-08 00:00:00.000 UTC,-13155.223119999999,3.5836134014831665e+06
2021-12-09 00:00:00.000 UTC,-690.67041,3.5829227310731667e+06
2021-12-10 00:00:00.000 UTC,10334.056260000001,3.5932567873331667e+06
2021-12-11 00:00:00.000 UTC,-67090.10560000001,3.526166681733167e+06
2021-12-12 00:00:00.000 UTC,-740.3137723499999,3.5254263679608167e+06
2021-12-13 00:00:00.000 UTC,-52385.048720000006,3.473041319240817e+06
2021-12-14 00:00:00.000 UTC,-6,3.473035319240817e+06
2021-12-15 00:00:00.000 UTC,-59003.47662551084,3.414031842615306e+06
2021-12-16 00:00:00.000 UTC,479.2326116077448,3.4145110752269137e+06
2021-12-17 00:00:00.000 UTC,124137.41031258566,3.538648485539499e+06
2021-12-18 00:00:00.000 UTC,3148.60333,3.541797088869499e+06
2021-12-19 00:00:00.000 UTC,-464.7,3.541332388869499e+06
2021-12-20 00:00:00.000 UTC,-387.2782299999999,3.540945110639499e+06
2021-12-21 00:00:00.000 UTC,515.84705,3.541460957689499e+06
2021-12-22 00:00:00.000 UTC,-48.01,3.5414129476894992e+06
2021-12-23 00:00:00.000 UTC,299.9999999999927,3.5417129476894992e+06
2021-12-25 00:00:00.000 UTC,14620.518371013153,3.5563334660605122e+06
2021-12-26 00:00:00.000 UTC,10792.09,3.567125556060512e+06
2021-12-27 00:00:00.000 UTC,1020.1,3.568145656060512e+06
2021-12-28 00:00:00.000 UTC,4125.28138,3.5722709374405122e+06
2021-12-29 00:00:00.000 UTC,-3549.0775857571152,3.568721859854755e+06
2021-12-30 00:00:00.000 UTC,3100.2325500000006,3.571822092404755e+06
2021-12-31 00:00:00.000 UTC,143.51964059999955,3.5719656120453547e+06
2022-01-01 00:00:00.000 UTC,6713.5181488267335,3.5786791301941816e+06
2022-01-02 00:00:00.000 UTC,-8428.80697315497,3.5702503232210265e+06
2022-01-03 00:00:00.000 UTC,38420.36458533987,3.6086706878063665e+06
2022-01-04 00:00:00.000 UTC,24270.534753730724,3.632941222560097e+06
2022-01-05 00:00:00.000 UTC,-2097.54293,3.630843679630097e+06
2022-01-06 00:00:00.000 UTC,-25015.743326963937,3.605827936303133e+06
2022-01-07 00:00:00.000 UTC,-9893.11878477,3.5959348175183632e+06
2022-01-08 00:00:00.000 UTC,172.2585635333453,3.5961070760818967e+06
2022-01-09 00:00:00.000 UTC,-16396.46256,3.579710613521897e+06
2022-01-10 00:00:00.000 UTC,-4985.143315379999,3.574725470206517e+06
2022-01-11 00:00:00.000 UTC,-1793.08347,3.572932386736517e+06
2022-01-12 00:00:00.000 UTC,-22789.52015940517,3.5501428665771117e+06
2022-01-13 00:00:00.000 UTC,1140.6920924143315,3.551283558669526e+06
2022-01-14 00:00:00.000 UTC,8697.668709787968,3.559981227379314e+06
2022-01-15 00:00:00.000 UTC,-2055.54142066,3.557925685958654e+06
2022-01-16 00:00:00.000 UTC,-2171.36401,3.555754321948654e+06
2022-01-17 00:00:00.000 UTC,-1821.8538600000002,3.553932468088654e+06
2022-01-18 00:00:00.000 UTC,24531.841079999995,3.578464309168654e+06
2022-01-19 00:00:00.000 UTC,-2604.96635912863,3.5758593428095253e+06
2022-01-20 00:00:00.000 UTC,-1622.49441,3.5742368483995255e+06
2022-01-21 00:00:00.000 UTC,-28444.87,3.5457919783995254e+06
2022-01-22 00:00:00.000 UTC,-4387.010564424545,3.541404967835101e+06
2022-01-23 00:00:00.000 UTC,-5870.340796,3.535534627039101e+06
2022-01-24 00:00:00.000 UTC,-18270.405280000003,3.517264221759101e+06
2022-01-25 00:00:00.000 UTC,-2601.9367649999995,3.5146622849941007e+06
2022-01-26 00:00:00.000 UTC,768.4656615795648,3.5154307506556804e+06
2022-01-27 00:00:00.000 UTC,-4954.882769999999,3.5104758678856804e+06
2022-01-28 00:00:00.000 UTC,829.6301999999991,3.5113054980856804e+06
2022-01-29 00:00:00.000 UTC,-5219.615991178256,3.506085882094502e+06
2022-01-30 00:00:00.000 UTC,2833.8884799999996,3.508919770574502e+06
2022-01-31 00:00:00.000 UTC,3939.13085,3.512858901424502e+06
2022-02-01 00:00:00.000 UTC,-762.2781320000001,3.512096623292502e+06
2022-02-02 00:00:00.000 UTC,-2560.69686048,3.509535926432022e+06
2022-02-03 00:00:00.000 UTC,-954.2301599999992,3.508581696272022e+06
2022-02-04 00:00:00.000 UTC,-12611.654941594468,3.4959700413304274e+06
2022-02-05 00:00:00.000 UTC,4675.776442697054,3.5006458177731247e+06
2022-02-06 00:00:00.000 UTC,16482.481814282717,3.5171282995874076e+06
2022-02-07 00:00:00.000 UTC,12787.203798084303,3.529915503385492e+06
2022-02-08 00:00:00.000 UTC,1036.6256000000003,3.530952128985492e+06
2022-02-09 00:00:00.000 UTC,-13195.832806991333,3.5177562961785006e+06
2022-02-10 00:00:00.000 UTC,12285.778096534646,3.5300420742750354e+06
2022-02-11 00:00:00.000 UTC,-13032.906200000003,3.5170091680750353e+06
2022-02-12 00:00:00.000 UTC,2280.7450800267197,3.519289913155062e+06
2022-02-13 00:00:00.000 UTC,-9851.475957500452,3.509438437197562e+06
2022-02-14 00:00:00.000 UTC,-1708.902552999998,3.507729534644562e+06
2022-02-15 00:00:00.000 UTC,-14603.817614148647,3.493125717030413e+06
2022-02-16 00:00:00.000 UTC,-22124.02283173198,3.471001694198681e+06
2022-02-17 00:00:00.000 UTC,38245.50572368385,3.5092471999223647e+06
2022-02-18 00:00:00.000 UTC,-20.107591208718077,3.509227092331156e+06
2022-02-19 00:00:00.000 UTC,-3528.2927673537088,3.5056987995638023e+06
2022-02-20 00:00:00.000 UTC,-3587.8152875393334,3.502110984276263e+06
2022-02-21 00:00:00.000 UTC,51197.43993590468,3.5533084242121675e+06
2022-02-22 00:00:00.000 UTC,30014.806506155925,3.5833232307183235e+06
2022-02-23 00:00:00.000 UTC,36707.39427931414,3.6200306249976377e+06
2022-02-24 00:00:00.000 UTC,138076.59745424578,3.7581072224518834e+06
2022-02-25 00:00:00.000 UTC,-2297.125622792246,3.755810096829091e+06
2022-02-26 00:00:00.000 UTC,3278.002234000007,3.759088099063091e+06
2022-02-27 00:00:00.000 UTC,-767.0284783701698,3.758321070584721e+06
2022-02-28 00:00:00.000 UTC,-7147.742355404018,3.751173328229317e+06
2022-03-01 00:00:00.000 UTC,-20632.062257345282,3.7305412659719717e+06
2022-03-02 00:00:00.000 UTC,-5557.675630044151,3.7249835903419275e+06
2022-03-03 00:00:00.000 UTC,-1844.9258413700002,3.7231386645005574e+06
2022-03-04 00:00:00.000 UTC,-1874.2980726,3.7212643664279575e+06
2022-03-05 00:00:00.000 UTC,-854.5156622670065,3.7204098507656907e+06
2022-03-06 00:00:00.000 UTC,2552.19298,3.7229620437456905e+06
2022-03-07 00:00:00.000 UTC,47652.10592375485,3.770614149669445e+06
2022-03-08 00:00:00.000 UTC,2738.0848766764484,3.7733522345461217e+06
2022-03-09 00:00:00.000 UTC,-13682.239855186082,3.7596699946909356e+06
2022-03-10 00:00:00.000 UTC,-7014.007307034395,3.752655987383901e+06
2022-03-11 00:00:00.000 UTC,2849.6334203700026,3.755505620804271e+06
2022-03-12 00:00:00.000 UTC,-292.71000000000004,3.755212910804271e+06
2022-03-13 00:00:00.000 UTC,4415.008090965732,3.759627918895237e+06
2022-03-14 00:00:00.000 UTC,-9526.351327323728,3.7501015675679133e+06
2022-03-15 00:00:00.000 UTC,-30641.65128673114,3.7194599162811823e+06
2022-03-16 00:00:00.000 UTC,1225.046302375933,3.720684962583558e+06
2022-03-17 00:00:00.000 UTC,-7382.560960039581,3.7133024016235187e+06
2022-03-18 00:00:00.000 UTC,-2827.0168211536475,3.710475384802365e+06
2022-03-19 00:00:00.000 UTC,1903.546211717483,3.712378931014083e+06
2022-03-20 00:00:00.000 UTC,-258.3282101760233,3.712120602803907e+06
2022-03-21 00:00:00.000 UTC,9643.02410478479,3.7217636269086916e+06
2022-03-22 00:00:00.000 UTC,-193.5862664132601,3.7215700406422783e+06
2022-03-23 00:00:00.000 UTC,-23907.453562389568,3.6976625870798887e+06
2022-03-24 00:00:00.000 UTC,1390.7095516273184,3.699053296631516e+06
2022-03-25 00:00:00.000 UTC,1007.1040678519421,3.7000604006993677e+06
2022-03-26 00:00:00.000 UTC,62443.88677430901,3.7625042874736767e+06
2022-03-27 00:00:00.000 UTC,26331.171177334123,3.788835458651011e+06
2022-03-28 00:00:00.000 UTC,-6965.941798026854,3.781869516852984e+06
2022-03-29 00:00:00.000 UTC,2999.380767434064,3.784868897620418e+06
2022-03-30 00:00:00.000 UTC,6890.869850135461,3.7917597674705535e+06
2022-03-31 00:00:00.000 UTC,-6821.015090119105,3.7849387523804344e+06
2022-04-01 00:00:00.000 UTC,-5851.358537821958,3.7790873938426124e+06
2022-04-02 00:00:00.000 UTC,2897.076153295491,3.781984469995908e+06
2022-04-03 00:00:00.000 UTC,-2876.329657223566,3.7791081403386844e+06
2022-04-04 00:00:00.000 UTC,-5109.788881436649,3.773998351457248e+06
2022-04-05 00:00:00.000 UTC,5589.081953401767,3.7795874334106497e+06
2022-04-06 00:00:00.000 UTC,-20389.46947214726,3.7591979639385026e+06
2022-04-07 00:00:00.000 UTC,257.9450212455981,3.759455908959748e+06
2022-04-08 00:00:00.000 UTC,-3627.1245125516457,3.7558287844471964e+06
2022-04-09 00:00:00.000 UTC,-400.5641,3.7554282203471963e+06
2022-04-10 00:00:00.000 UTC,969.9443407134881,3.7563981646879097e+06
2022-04-11 00:00:00.000 UTC,412.2742254463992,3.756810438913356e+06
2022-04-12 00:00:00.000 UTC,1165.8619420074767,3.7579763008553637e+06
2022-04-13 00:00:00.000 UTC,-7268.753949,3.7507075469063637e+06
2022-04-14 00:00:00.000 UTC,-6875.022478084724,3.743832524428279e+06
2022-04-15 00:00:00.000 UTC,644.8610092328872,3.744477385437512e+06
2022-04-16 00:00:00.000 UTC,-247.04431466448386,3.7442303411228475e+06
2022-04-17 00:00:00.000 UTC,3698.4643692105487,3.747928805492058e+06
2022-04-18 00:00:00.000 UTC,1601.6520345923354,3.7495304575266503e+06
2022-04-19 00:00:00.000 UTC,3252.5536712721,3.7527830111979223e+06
2022-04-20 00:00:00.000 UTC,735.0877223938433,3.753518098920316e+06
2022-04-21 00:00:00.000 UTC,-631.4968892853194,3.7528866020310307e+06
2022-04-22 00:00:00.000 UTC,773.7381671422445,3.7536603401981727e+06
2022-04-23 00:00:00.000 UTC,-5841.985111443148,3.7478183550867294e+06
2022-04-24 00:00:00.000 UTC,-5104.91505856,3.742713440028169e+06
2022-04-25 00:00:00.000 UTC,1689.98186092396,3.7444034218890932e+06
2022-04-26 00:00:00.000 UTC,73.74433666110326,3.744477166225754e+06
2022-04-27 00:00:00.000 UTC,765.4445239160119,3.7452426107496703e+06
2022-04-28 00:00:00.000 UTC,-12.009911389641275,3.7452306008382807e+06
2022-04-29 00:00:00.000 UTC,-862.9085760392063,3.7443676922622416e+06
2022-04-30 00:00:00.000 UTC,-2957.21828154,3.7414104739807015e+06
2022-05-01 00:00:00.000 UTC,-7507.78647076515,3.7339026875099363e+06
2022-05-02 00:00:00.000 UTC,-7377.7648544303265,3.726524922655506e+06
2022-05-03 00:00:00.000 UTC,41.434772577742024,3.7265663574280837e+06
2022-05-04 00:00:00.000 UTC,817.0990425791388,3.7273834564706627e+06
2022-05-05 00:00:00.000 UTC,-3847.7942641242666,3.7235356622065385e+06
2022-05-06 00:00:00.000 UTC,-3956.534961926558,3.7195791272446117e+06
2022-05-07 00:00:00.000 UTC,2050.8596618275533,3.721629986906439e+06
2022-05-08 00:00:00.000 UTC,1701.0605286708696,3.72333104743511e+06
2022-05-09 00:00:00.000 UTC,-7381.996233703381,3.7159490512014064e+06
2022-05-10 00:00:00.000 UTC,-2108.255846601649,3.713840795354805e+06
2022-05-11 00:00:00.000 UTC,-17199.537714576574,3.6966412576402286e+06
2022-05-12 00:00:00.000 UTC,-32568.862059238018,3.6640723955809907e+06
2022-05-13 00:00:00.000 UTC,14396.868256146088,3.678469263837137e+06
2022-05-14 00:00:00.000 UTC,-41763.95116674458,3.636705312670392e+06
2022-05-15 00:00:00.000 UTC,13381.69212328893,3.6500870047936807e+06
2022-05-16 00:00:00.000 UTC,1365.8447054122335,3.651452849499093e+06
2022-05-17 00:00:00.000 UTC,-14602.336696860037,3.636850512802233e+06
2022-05-18 00:00:00.000 UTC,196.77447857902735,3.637047287280812e+06
2022-05-19 00:00:00.000 UTC,26000.380626657978,3.66304766790747e+06
2022-05-20 00:00:00.000 UTC,5576.381793264679,3.6686240497007347e+06
2022-05-21 00:00:00.000 UTC,2352.2071173755603,3.67097625681811e+06
2022-05-22 00:00:00.000 UTC,4932.9493068670845,3.675909206124977e+06
2022-05-23 00:00:00.000 UTC,-12553.620806673813,3.663355585318303e+06
2022-05-24 00:00:00.000 UTC,-1749.7571058472179,3.661605828212456e+06
2022-05-25 00:00:00.000 UTC,68211.81909092312,3.729817647303379e+06
2022-05-26 00:00:00.000 UTC,-10258.16964439831,3.719559477658981e+06
2022-05-27 00:00:00.000 UTC,-2227.377920162521,3.7173320997388186e+06
2022-05-28 00:00:00.000 UTC,594.2649883146319,3.7179263647271334e+06
2022-05-29 00:00:00.000 UTC,-4356.886605329402,3.713569478121804e+06
2022-05-30 00:00:00.000 UTC,-4638.14659251,3.708931331529294e+06
2022-05-31 00:00:00.000 UTC,8196.266323543468,3.7171275978528378e+06
2022-06-01 00:00:00.000 UTC,-1615.36107,3.7155122367828377e+06
2022-06-02 00:00:00.000 UTC,-1425.0070350000003,3.714087229747838e+06
2022-06-03 00:00:00.000 UTC,-454.13,3.713633099747838e+06
2022-06-04 00:00:00.000 UTC,-7502.220000000001,3.706130879747838e+06
2022-06-05 00:00:00.000 UTC,6727.367515,3.712858247262838e+06
2022-06-06 00:00:00.000 UTC,-5382.509089064,3.707475738173774e+06
2022-06-07 00:00:00.000 UTC,44403.20543050341,3.7518789436042774e+06
2022-06-08 00:00:00.000 UTC,2497.440523781994,3.7543763841280593e+06
2022-06-09 00:00:00.000 UTC,3774.09847948496,3.7581504826075444e+06
2022-06-10 00:00:00.000 UTC,-4793.1974728428795,3.7533572851347015e+06
2022-06-11 00:00:00.000 UTC,-4331.99592076376,3.7490252892139377e+06
2022-06-12 00:00:00.000 UTC,-2133.1466787712898,3.7468921425351663e+06
2022-06-13 00:00:00.000 UTC,-8938.576342032015,3.7379535661931345e+06
2022-06-14 00:00:00.000 UTC,-13035.190272644806,3.72491837592049e+06
2022-06-15 00:00:00.000 UTC,-25133.316444484743,3.6997850594760054e+06
2022-06-16 00:00:00.000 UTC,-1080.4520848516008,3.698704607391154e+06
2022-06-17 00:00:00.000 UTC,-52448.25170836247,3.6462563556827917e+06
2022-06-18 00:00:00.000 UTC,4248.367740511854,3.6505047234233036e+06
2022-06-19 00:00:00.000 UTC,-19996.40202098756,3.630508321402316e+06
2022-06-20 00:00:00.000 UTC,-1869.7116237196055,3.6286386097785966e+06
2022-06-21 00:00:00.000 UTC,-2176.190353867823,3.626462419424729e+06
2022-06-22 00:00:00.000 UTC,789.4981907256952,3.6272519176154546e+06
2022-06-23 00:00:00.000 UTC,56399.593438890784,3.6836515110543454e+06
2022-06-24 00:00:00.000 UTC,-5458.8451956278805,3.6781926658587176e+06
2022-06-25 00:00:00.000 UTC,-6572.141181716772,3.671620524677001e+06
2022-06-26 00:00:00.000 UTC,-11295.49893338287,3.660325025743618e+06
2022-06-27 00:00:00.000 UTC,-3127.5517799999993,3.6571974739636183e+06
2022-06-28 00:00:00.000 UTC,-998.2614597212415,3.656199212503897e+06
2022-06-29 00:00:00.000 UTC,-104.89870399999995,3.656094313799897e+06
2022-06-30 00:00:00.000 UTC,-8221.394314000001,3.6478729194858973e+06
2022-07-01 00:00:00.000 UTC,-1552.364316551444,3.646320555169346e+06
2022-07-02 00:00:00.000 UTC,1676.719890742438,3.6479972750600884e+06
2022-07-03 00:00:00.000 UTC,-849.7084000000001,3.6471475666600885e+06
2022-07-04 00:00:00.000 UTC,3780.559104777093,3.6509281257648654e+06
2022-07-05 00:00:00.000 UTC,-7458.289175097272,3.643469836589768e+06
